"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
23:"Menkar Hadean":3549:7,31:1,056:1,91:"cityscape":"frigid; superheated; windy"
24:"Kaveh Oranos":2781:1,2:0,677:1,21:"vine; jungle; rocky canyon":"arid; hot; frozen"
25:"Obsidian Whispers Irisian":4153:1,75:1,391:1,08:"plain":"frozen"
26:"Mjoltr Secant":5284:4,26:1,041:1,6:"sinkholes; bog; field":"humid; superheated; tropical; arid; subartic"
27:"Mjoltr Vigesimal":5284:6,56:1,319:1,71:"rocky desert; volcano; lava river":"windy; frozen; subartic; hot"
28:"Mjoltr Sextant":5284:2,1:1,008:1,28:"cliff; glacier; reef; rocky desert":"temperate; arid; artificial temperate; artic; rocky; tropical"
29:"Mjoltr Quartal":5284:5,15:0,986:1,73:"sea; tundra; canyons; plain; cityscape; rainforest":"superheated; rocky; frigid; tropical; hot; subartic"
30:"Mjoltr Octal":5284:6,6:1,106:1,81:"river":"windy; subartic"
31:"Cassionara Echoian":9535:1,07:0,397:1,39:"glacier; sea; ice cave; plain; vine; lakes; bog; forest; volcano; city":"artificial temperate; temperate; arid; rocky; tropical; artic; frigid"
32:"Cassionara Nyxios":9535:5,65:0,789:1,93:"river; ice cave; urban; grassland":"frozen; temperate; artificial temperate; arid; humid; windy"
33:"Cassionara Artemian":9535:3,79:1,426:1,39:"hill; urban; toxic cloudsea":"tropical; artic; rocky; windy; superheated; hot; frozen"
34:"Cassionara Hadean":9535:1,26:0,845:1,14:"swamp; sinkholes; volcano; acid pool; ice canyon; bog; rocky island; mountain; verdant":"superheated; tropical; artic; frozen; subartic; artificial temperate"
35:"Cosmosol XV":3157:6,46:0,977:1,88:"forest; fungus forest":"windy; tropical; frozen; arid; artificial temperate; humid"
36:"Asterion Abyss Omega":9523:1,33:0,815:1,18:"urban; verdant":"frigid; frozen; tropical"
37:"Asterion Abyss Chi":9523:1,03:0,914:1,04:"cityscape; rock arche; canyons; jungle; reef; savanna; sinkholes":"superheated; tropical; hot; temperate; rocky; frozen; windy"
38:"Asterion Abyss Alpha":9523:8,06:0,833:2,13:"glacier; island; rocky desert; scrubland; rocky canyon; canyons":"subartic; hot; artic; superheated; arid"
39:"Asterion Abyss Tau":9523:missing:1,242:1,3:"vine":"artic; rocky; frigid"
40:"Asterion Abyss Upsilon":9523:6,05:1,058:1,79:"sea; cityscape":"tropical"
41:"Frostfang Poseidian":3758:2,43:1,262:1,24:"acid pool; barren; river; jungle; fungus forest":"artificial temperate; hot; arid; frozen"
42:"Kamikaze Ascendance Decimal":2324:4,96:0,775:1,86:"toxic cloudsea; fungus forest":"artic; hot; temperate; artificial temperate; superheated; windy"
43:"Kamikaze Ascendance Tertial":2324:8,72:0,107:4,33:"plateau; plain":"subartic; rocky; artic"
44:"Kamikaze Ascendance Undecimal":2324:7,38:0,704:2,19:"sinkholes; cave":"superheated"
45:"Kamikaze Ascendance Quartal":2324:9,42:1,04:2,08:"jungle; island; river; acid pool; cityscape; ocean; cliff":"superheated; tropical; temperate; windy; frozen; frigid"
46:"Wyrmslayer Ba":9556:6,94:0,85:2,01:"mountain; ice cave; cave":"humid; artic; temperate"
47:"Wyrmslayer San":9556:6,74:1,151:1,8:"reef; canyons; mountain; savanna":"frigid; artic; superheated; windy"
48:"Wyrmslayer Wu":9556:2,51:1,194:1,28:"jungle; tundra; ice cave; rocky island; cave; cliff; sea; rainforest; savanna":"frozen; rocky; artic; tropical; hot; humid"
49:"Tuiren Duodecimal":9902:9,47:1,401:1,89:"fungus forest; canyons; jungle; river; swamp; urban":"humid; rocky; frigid; temperate; frozen; tropical"
50:"Cosmic Cascade IX":1973:1,32:1,013:1,09:"tundra; volcano; rocky island; desert":"humid; superheated; frigid; rocky; tropical; artificial temperate"
51:"Cosmic Cascade XIV":1973:2,89:0,744:1,57:"cliff; desert; toxic cloudsea; reef":"temperate; frozen; rocky; arid"
52:"Cosmic Cascade XXIV":1973:4,25:1,105:1,57:"cave":"rocky"
53:"Cosmic Cascade III":1973:3,92:1,181:1,49:"rocky canyon; cityscape":"superheated; humid; rocky; subartic; temperate"
54:"Cosmic Cascade XVIII":1973:1,8:1:1,22:"vine":"subartic; humid; hot; tropical"
55:"Ayeyarwady Sigma":8676:5,4:0,909:1,81:"desert; bog; volcano; city; jungle":"hot; artificial temperate; windy; tropical; superheated"
56:"Ayeyarwady Theta":8676:1,5:1,166:1,09:"ice cave; river":"frozen; artic; temperate; humid; frigid"
57:"Ayeyarwady Omega":8676:2,22:0,618:1,53:"valley; city; plateau; ice cave; volcano; jungle; sea; rainforest; grassland; acid pool; lava river":"frozen; artificial temperate; subartic; tropical; humid; hot; rocky"
58:"Gloas Wu":1747:7,58:0,498:2,48:"cliff":"artic; windy; superheated"
59:"Gloas Qi":1747:2,36:1,077:1,3:"cliff; river; rock arche":"frozen; superheated; rocky; artic"
60:"Gloas Si":1747:1,5:0,858:1,2:"city; grassy hill; reef; urban; lakes":"rocky; temperate; frigid; frozen"
61:"Gloas Er":1747:2,18:1,008:1,29:"jungle; river; rocky desert; acid pool; rocky island; vine":"hot; tropical; humid; windy; rocky"
62:"Inquill Quartal":2104:2,1:0,898:1,33:"bog; savanna":"humid; frigid; tropical"
63:"Inquill Decimal":2104:7,66:1,092:1,91:"mountain":"artic; hot; frigid; temperate; windy; superheated"
64:"Inquill Sextant":2104:4,92:1,109:1,64:"desert; savanna; sea; tundra; rock arche; ice canyon; jungle":"superheated; rocky; artic; windy; subartic; temperate; artificial temperate"
65:"Inquill Quintal":2104:1,01:1,368:0,9:"cliff; reef; canyons":"frozen; windy; frigid; artificial temperate"
66:"Inquill Tertial":2104:1,08:0,767:1,12:"rocky canyon; plateau":"windy; temperate; superheated; rocky"
67:"Ravenfury Echoian":8717:8,38:0,699:2,29:"reef":"temperate"
68:"Praecipua Tritonian":594:7,13:1,339:1,75:"acid pool":"frigid; windy; rocky"
69:"Hikari Nebula Hermesios":3913:missing:1,445:1,47:"island; cave; glacier; valley":"frozen; humid; artic"
70:"Hikari Nebula Olympios":3913:5,22:0,984:1,74:"rock arche; canyons":"frozen; rocky; hot"
71:"Hikari Nebula Herculean":3913:2,87:1,267:1,31:"volcano; barren; valley; plateau":"arid; frozen; tropical; superheated; temperate; artic"
72:"Hikari Nebula Titanos":3913:5,21:0,744:1,91:"mountain; plateau; cave; jungle; reef; sea":"arid; frigid; superheated; artic; windy; frozen"
73:"Hikari Nebula Gaios":3913:1,28:0,423:1,45:"ocean; barren":"arid; tropical; superheated; windy; frigid"
74:"Solaris Cascade Secant":1092:3,25:0,568:1,79:"tundra; vine":"windy; rocky; subartic"
75:"Solaris Cascade Octal":1092:4,74:0,921:1,73:"rocky island; ash; lakes; vine; jungle; forest; urban":"frozen; temperate; superheated; frigid; hot"
76:"Solaris Cascade Decimal":1092:1,81:0,847:1,29:"mountain; reef; plain; savanna; fungus forest":"frozen; frigid; arid; humid; tropical"
77:"Solaris Cascade Quintal":1092:7,86:0,835:2,11:"canyons; jungle; valley; bog; lakes":"frigid; tropical; temperate; subartic"
78:"Alchiba Zeta":6760:1,9:1,056:1,22:"ocean; valley; island":"hot; subartic; windy"
79:"Alchiba Epsilon":6760:0,92:0,761:1,07:"glacier; urban; grassland; toxic cloudsea":"temperate; frozen; windy; subartic; rocky; arid"
80:"Alchiba Eta":6760:8,39:0,92:2,09:"valley; rocky canyon; city":"superheated; arid; windy"
81:"Alchiba Iota":646:6,67:0,82:2,01:"rocky canyon; cave; fungus forest":"tropical; artic"
82:"Alchiba Gamma":6760:1,11:0,973:1,04:"desert":"humid; windy; frozen; superheated"
83:"Elnath Theta":7013:missing:0,806:1,74:"forest; fungus forest; cityscape; cliff":"humid; frigid; frozen; windy"
84:"Talitha Omicron":6179:4,45:0,552:2,01:"island; vine":"tropical; subartic; superheated; windy; humid"
85:"Talitha Gamma":6179:8,22:1,216:1,89:"plain; vine":"frigid; artificial temperate; humid; hot"
86:"Poerava Herculean":5585:1,55:0,684:1,31:"lava river":"subartic; frigid; superheated"
87:"Obsidian Threshold Decimal":3485:5,03:1,481:1,5:"valley; city":"frigid"
88:"Bosona Yi":482:2,35:0,776:1,45:"urban; hill":"rocky"
89:"Bosona Er":482:5,07:0,701:1,93:"sinkholes":"hot; superheated; frozen; artificial temperate"
90:"Ombraflux XXIII":6325:3,18:0,96:1,49:"canyons; vine; grassland; river; volcano; rock arche; city":"artificial temperate; superheated; hot; arid; subartic; humid; tropical"
91:"Luminous Nexus VIII":316:6,47:0,719:2,08:"river; ash; ice cave":"frigid; subartic; frozen; superheated"
92:"Luminous Nexus II":316:3,92:0,916:1,62:"swamp; canyons; island; ocean; rainforest; jungle; acid pool":"arid; humid; artificial temperate; artic; temperate"
93:"Luminous Nexus VII":316:1,03:0,694:1,14:"sea; island; ash":"subartic; rocky; windy; superheated; tropical; humid"
94:"Luminous Nexus XIV":316:2,75:0,868:1,47:"urban; glacier":"arid; superheated; subartic; artic"
95:"Hatysa Qi":9423:2,79:1,218:1,32:"grassy hill; lava river; ice canyon; cave; cliff; field":"hot; artificial temperate; frozen; superheated"
96:"Galehelm II":8099:2,41:0,61:1,58:"fungus forest":"humid"
97:"Galehelm VI":8099:1,26:1,046:1,06:"vine; rock arche":"frigid; humid; frozen; windy"
98:"Galehelm V":8099:4,01:1,167:1,51:"verdant; acid pool":"rocky; windy; artificial temperate; subartic"
99:"Alnitak Er":3792:2,28:1,142:1,26:"valley; toxic cloudsea":"humid; artic; temperate; frozen"
100:"Alnitak Si":3792:0,56:0,887:0,86:"acid pool; volcano; vine; rainforest; rock arche; tundra; scrubland; reef; cliff":"rocky; artificial temperate; superheated; tropical; arid; hot"
101:"Isis' Celestial Nemesisian":5659:1,74:1,186:1,14:"river; urban; mountain":"frigid; artic; temperate; windy"
102:"Isis' Celestial Zephyrian":5659:2,96:0,763:1,57:"ice cave; jungle; vine":"artic; humid; artificial temperate; rocky; tropical; windy"
103:"Photara Artemian":4406:9,54:0,897:2,2:"savanna; reef; cave":"temperate; windy; hot; humid"
104:"Dubhe Echoian":3927:6,07:0,897:1,89:"cave; vine":"hot"
105:"Nebularian Hestian":6610:5,81:0,771:1,96:"acid pool; rock arche; lakes":"arid; frozen; subartic; superheated"
106:"Nocturnal Silence Sigma":6293:2,02:0,33:1,83:"grassy hill; river; swamp; rainforest":"frigid; humid; tropical; artic; superheated; artificial temperate; temperate"
107:"Nocturnal Silence Alpha":6293:4,85:0,893:1,76:"ocean; lakes":"frozen; hot"
108:"Sekhmet's Mirage Sirenios":1617:5,67:0,717:1,99:"rocky island; hill; ocean; verdant":"humid; artificial temperate; rocky; frozen"
109:"Helixarian Yi":6497:missing:1,002:1,57:"valley":"windy; frigid; tropical; superheated; artificial temperate; arid"
110:"Helixarian Er":6497:7,7:0,994:1,98:"grassy hill; field; river; cityscape; hill; swamp; jungle":"frigid; tropical; artic; temperate; frozen"
111:"Helixarian San":6497:0,87:1,397:0,85:"sea; plateau; toxic cloudsea":"humid; frozen; windy"
112:"Brimstone Shi":3233:6,55:0,951:1,9:"ash; river; canyons; volcano":"windy; frigid; hot; subartic"
113:"Brimstone Er":3233:0,72:1,19:0,85:"urban":"tropical; subartic; superheated; artic; frozen"
114:"Sadachbia Iota":7685:0,9:0,811:missing:"cityscape; sinkholes; bog; ash":"tropical; frozen; hot; windy; frigid"
115:"Sadachbia Psi":7685:3,87:1,003:1,57:"reef; river; ice canyon":"temperate; rocky; humid; artic"
116:"Alderamin Secant":2236:5,83:1,129:1,73:"lava river; city":"temperate; hot; superheated; frigid; artic"
117:"Izar Zephyrian":7238:4,08:0,886:1,66:"grassy hill; cliff; valley; ice cave":"frigid; arid; artificial temperate; temperate; rocky"
118:"Cor Caroli Shi":7063:4,17:1,038:1,59:"toxic cloudsea; field; reef; acid pool":"tropical; frozen; hot; frigid; superheated"
119:"Cor Caroli Jiu":7063:0,79:0,647:1,07:"grassy hill; plain":"temperate; hot"
120:"Cor Caroli Er":7063:4,5:0,873:1,73:"ocean; city; urban":"rocky; humid"
121:"Cor Caroli San":7063:7,22:0,795:2,09:"jungle; rock arche":"subartic; tropical; windy; artic; humid; frigid"
122:"Helionis Quartal":4081:7,52:1,194:1,85:"reef; lakes":"subartic; tropical; windy"
123:"Helionis Tertial":4081:3,12:1,782:1,21:"jungle":"artificial temperate; subartic; humid; frozen; windy"
124:"Helionis Octal":4081:4,4:0,494:2,07:"rocky canyon; rock arche; rocky island; vine":"windy; arid; artificial temperate; superheated; hot; subartic"
125:"Helionis Sextant":4081:2,24:1,151:1,25:"lava river; rock arche":"superheated"
126:"Helionis Vigesimal":4081:2,21:0,919:1,34:"rocky island; lakes; grassy hill; verdant":"hot; artificial temperate; arid; subartic"
127:"Skat Janusian":5531:1,49:0,753:1,26:"rock arche; swamp":"artic; windy; subartic; artificial temperate; humid"
128:"Quantum Gaze XXIV":3947:9,31:1,063:2,06:"lakes; valley; forest":"frigid; rocky; artificial temperate"
129:"Astroflux Yi":825:1,87:1,542:1,07:"savanna; field; grassy hill; rocky desert":"windy; frigid; frozen; temperate; tropical; rocky; arid"
130:"Astroflux Si":825:1,96:1,352:1,13:"tundra; savanna; ash; valley; cityscape; sinkholes; grassy hill; cliff":"frozen; temperate; rocky; artificial temperate; hot"
131:"Markab Er":1592:2,15:1,036:1,28:"rocky desert; grassy hill; mountain; tundra; swamp; desert":"humid; hot; frigid; superheated"
132:"Dziban Demetrian":1260:0,74:1,413:0,81:"cityscape; verdant":"windy; temperate"
133:"Dziban Atlasios":1260:5,45:0,836:1,87:"jungle; ice canyon; acid pool; island; hill; reef; cave":"rocky; artificial temperate; tropical; frigid; hot; superheated"
134:"Dziban Orphean":1260:1,47:1,272:1,05:"forest; rainforest; rocky desert; hill; acid pool":"artificial temperate; tropical; humid; arid; superheated"
135:"Dziban Hadean":1260:2,97:0,652:1,66:"tundra; jungle; sea; valley; grassland":"humid; subartic; tropical; windy; superheated"
136:"Solarion Selenean":7425:7,14:0,558:2,34:"river; cliff":"artic; frozen"
137:"Titanium Quasar Chimeraean":7083:5,52:1,042:1,74:"rocky canyon; jungle; field":"windy; humid; frozen; tropical"
138:"Titanium Quasar Hermian":7083:2,31:0,952:1,34:"sinkholes; rocky desert; plain; cliff":"superheated; frozen; artificial temperate; temperate"
139:"Hathor's Labyrinth XIX":5734:2,25:1,221:1,23:"bog; field; ocean":"arid; frozen; windy; superheated; hot"
140:"Hathor's Labyrinth IV":5734:5,66:1,342:1,62:"canyons; island":"artificial temperate; windy; temperate; hot"
141:"Hathor's Labyrinth X":5734:0,51:1,31:0,73:"fungus forest; sinkholes; rock arche; sea":"humid; hot; arid; subartic"
142:"Hathor's Labyrinth XXI":5734:6,46:1,218:1,74:"cityscape":"windy; artic; arid"
143:"Hathor's Labyrinth V":5734:1,25:0,828:1,15:"cave; sea":"arid; artificial temperate; temperate; superheated"
144:"Gakyid Poseidian":6523:7,81:1,161:missing:"jungle; grassy hill; valley; river":"temperate; tropical; hot; superheated"
145:"Emiw Theta":3116:7,78:1,216:1,86:"ash; vine":"windy; arid; hot"
146:"Emiw Xi":3116:3,5:0,662:1,74:"cityscape":"temperate; arid"
147:"Emiw Upsilon":3116:3,53:1,077:1,49:"sea; jungle; city":"humid; temperate; windy; artic"
148:"Hikari Gaze XVII":2685:8,74:1,171:1,95:"plain":"hot; artic"
149:"Ketsueki Whispers Zeta":5428:2,42:0,512:1,68:"verdant; lava river":"arid; tropical; rocky; artificial temperate"
150:"Rimeblade Demetrian":3517:5,35:0,992:1,75:"cityscape; river; lakes":"rocky; temperate; tropical; frigid; frozen"
151:"Uklun Secant":2870:4,43:0,935:1,68:"acid pool; volcano":"frigid; superheated; windy; subartic; rocky; artificial temperate"
152:"Astromara XIV":2015:2,84:1,259:1,31:"fungus forest; city; lava river; volcano; rainforest":"windy; tropical; subartic; arid"
153:"Buna XIV":4005:4,1:0,933:1,64:"city; plain; cityscape; ice canyon; island; valley; urban; river":"temperate; artic; superheated; frozen; windy; artificial temperate"
154:"Achird Qi":8823:5,55:0,701:1,99:"ash; cityscape; jungle; verdant; cliff":"superheated; frozen; artic; arid; windy"
155:"Achird Ba":8823:2,88:0,448:1,86:"rock arche":"subartic"
156:"Achird San":8823:1,99:1,237:missing:"reef; sea; scrubland; forest; ash; plain":"windy; rocky; arid; frigid; hot; superheated; subartic"
157:"Achird Yi":8823:8,01:0,689:2,27:"canyons; desert; sea":"rocky; frigid; artic"
158:"Achird Si":8823:4,14:0,86:1,69:"urban; rainforest":"humid; temperate; artic; subartic"
159:"Yurei Celestial Octal":6036:5,35:0,994:1,75:"urban; vine; toxic cloudsea; verdant":"frigid; artificial temperate; arid; frozen"
160:"Yurei Celestial Quartal":6036:2,18:1,878:1,05:"ash; plateau":"superheated; artic; windy"
161:"Sekhmet's Ember IV":8061:1,42:1,042:1,11:"desert; bog; grassy hill; savanna; cliff; island":"frozen; rocky; hot; artic"
162:"Jishui Tertial":5050:4,87:1,198:1,6:"hill; savanna; jungle; cave; rainforest; fungus forest":"frigid; humid; windy; hot; rocky"
163:"Jishui Sextant":5050:3,27:1,176:1,41:"rock arche":"artificial temperate"
164:"Jishui Vigesimal":5050:4,18:1,187:1,52:"vine; savanna":"rocky; artic"
165:"Jishui Decimal":5050:0,4:1,093:0,72:"glacier":"hot; artic; artificial temperate; arid; subartic"
166:"Rukbat Irisian":66:3,77:1,42:1,38:"lakes; swamp; jungle":"tropical; superheated"
167:"Rukbat Orphean":66:3,09:1,292:1,34:"cave; ocean":"frozen; frigid"
168:"Piautos Epsilon":9102:3,45:1,199:1,42:"cave":"windy; frozen; arid"
169:"Aurum Obscura Qi":5774:4,95:0,786:1,85:"ocean; urban; lakes; plain":"artificial temperate; arid; artic; frozen; hot"
170:"Aurum Obscura San":5774:1,44:0,637:1,31:"plain":"superheated"
171:"Eternal Murmurs Duodecimal":2884:5,75:0,797:1,93:"vine; rocky island":"frozen; rocky"
172:"Astrophia VII":661:1,87:0,994:1,23:"forest":"superheated; frozen; humid"
173:"Astraflux San":6509:1,41:0,947:1,14:"tundra; plateau; glacier; plain":"humid; windy; frigid; arid; frozen"
174:"Astraflux Jiu":6509:1,21:0,966:1,08:"fungus forest; tundra; city":"tropical; rocky; windy"
175:"Astraflux Shi":6509:2,48:1,206:1,27:"valley; plain":"tropical; frozen; frigid; temperate"
176:"Pulsara Sirenios":9317:0,75:0,876:0,95:"ice canyon; toxic cloudsea; island; sea; hill; ice cave":"artificial temperate; frigid; windy; frozen; subartic"
177:"Pulsara Apollox":9317:1,45:0,876:1,18:"island; rock arche":"arid; artificial temperate; frigid; superheated; frozen"
178:"Pulsara Demetrian":9317:5,36:0,739:1,94:"urban":"frozen"
179:"Pulsara Artemian":9317:3,26:1,005:1,48:"grassy hill; volcano":"temperate; rocky; arid"
180:"Celaeno V":3439:4,87:1,14:1,62:"rainforest; vine; urban; river; plateau":"humid; arid; artificial temperate; rocky; windy"
181:"Moriah Ba":7916:2,49:1,048:1,33:"volcano; canyons":"windy; rocky; arid"
182:"Moriah Qi":7916:2,45:0,759:1,48:"verdant":"rocky; artic"
183:"Quantraflux Cerberian":8556:6,44:1,193:1,75:"swamp; river; urban; forest":"humid; windy; subartic; frigid"
184:"Quantraflux Echoian":8556:1,09:1,202:0,97:"plain; sinkholes; city; lakes; forest; ice canyon; ice cave; grassy hill; canyons":"tropical; artificial temperate; artic; subartic; hot; frozen; temperate"
185:"Quantraflux Herculean":8556:4,29:0,678:1,85:"sinkholes":"hot; humid; frigid"
186:"Quantraflux Pegasusian":8556:missing:1,001:1,67:"plateau; scrubland; cliff; jungle; cityscape":"hot; frigid; arid"
187:"Paikauhale Asclepian":8730:1,75:1,036:1,19:"rocky canyon; tundra; ice cave; vine":"temperate; frigid; frozen; hot"
188:"Paikauhale Aphroditos":8730:2,76:1,604:1,2:"glacier; mountain":"frigid; tropical; frozen; arid"
189:"Paikauhale Chimeraean":8730:2,96:0,705:1,61:"lava river; island; cliff; grassland; ocean":"humid; temperate; arid"
190:"Paikauhale Titanos":8730:2,25:1,41:1,17:"verdant; plain":"arid"
191:"Axeheart Dionian":1096:2,98:0,999:1,44:"rainforest; desert":"artic; windy; superheated; subartic"
192:"Axeheart Persephonian":1096:1,36:1,2:1,04:"rocky canyon; lakes":"arid; temperate; windy; artic"
193:"Axeheart Pantheon":1096:0,74:0,89:0,94:"forest":"tropical"
194:"Axeheart Sirenios":1096:2,05:0,784:1,38:"cityscape; rocky island; acid pool; cave; ice canyon; hill; fungus forest; reef; rainforest; island":"subartic; hot; temperate; artificial temperate; frozen; artic; tropical"
195:"Axeheart Morphean":1096:2,94:1,157:1,36:"acid pool; glacier; rocky canyon":"arid; superheated; temperate; subartic; frozen"
196:"Kaminari Enigma Morphean":6743:2,4:0,781:1,45:"rock arche; toxic cloudsea; grassy hill":"superheated; hot; frozen; subartic"
197:"Oborozuki Demetrian":852:1,29:1,018:1,08:"valley; cave; glacier; plateau; jungle":"hot; frozen; frigid"
198:"Kasumi Whisper Athenian":507:4,45:1,113:1,59:"volcano; hill; valley; cityscape; rock arche":"temperate; arid; frigid"
199:"Kasumi Whisper Persephonian":507:1,53:0,924:1,18:"ice cave; glacier":"tropical; temperate; frigid; artic; artificial temperate"
200:"Kasumi Whisper Chimeraean":507:2,7:0,66:1,6:"cave; jungle":"subartic; tropical; frozen; rocky"
201:"Kasumi Whisper Pantheon":507:7,82:1,306:1,82:"desert":"artic; subartic; artificial temperate; arid"
202:"Tianguan XV":5597:5,26:0,587:2,08:"reef; cityscape":"hot; rocky; windy; artificial temperate; arid"
203:"Tianguan III":5597:7,25:1,077:1,89:"hill":"frigid; windy; rocky; artic; hot"
204:"Tianguan VIII":5597:4,99:1,022:1,7:"glacier; verdant":"frozen; subartic; windy"
205:"Tianguan XVII":5597:3,14:0,982:1,47:"cave; desert; verdant; rock arche; cityscape; grassland; island":"artic; frigid; windy; temperate; superheated; hot"
206:"Elysian Anomaly Jiu":9630:4,68:0,676:1,91:"cliff; reef; sea; rainforest; acid pool":"humid; rocky; frigid; hot"
207:"Alcyone VI":4325:8,25:1,023:2,01:"sea; mountain; grassy hill; toxic cloudsea; tundra; forest; rocky canyon; ash; cityscape; cave":"arid; hot; artic; rocky; frozen; superheated; frigid"
208:"Snowstrider Nonal":7807:2,53:0,704:1,53:"cave; scrubland":"superheated; hot; temperate; arid"
209:"Snowstrider Quintal":7807:0,37:0,771:0,78:"rainforest; rock arche; city; savanna; ice canyon; river; cityscape; hill":"artificial temperate; superheated; hot; subartic; temperate"
210:"Snowstrider Sextant":7807:missing:1,041:1,74:"savanna; city; sinkholes":"subartic; hot; windy; humid"
211:"Clandestine Nebula Rho":3258:8,42:0,811:2,18:"canyons; bog; grassy hill; ice cave; ice canyon":"windy; artic; frozen; subartic; humid; artificial temperate"
212:"Sekai Ember IX":9170:2,69:0,737:1,54:"rocky island; rock arche; savanna; urban":"humid; artic; rocky; artificial temperate; arid"
213:"Abyssal Echo Rho":5645:2,71:0,578:1,67:"ice canyon":"temperate; frigid; subartic"
214:"Alshat Undecimal":6865:7,23:0,946:1,97:"rocky island":"humid; frozen"
215:"Tesserara Morphean":8891:2,95:1,074:1,4:"ice cave; fungus forest; volcano; river; grassy hill; tundra; urban":"arid; frigid; temperate; hot; tropical; windy; artificial temperate"
216:"Tesserara Typhonian":8891:4,43:0,522:2,04:"hill; jungle; toxic cloudsea; valley; cityscape; bog; reef; desert":"humid; tropical; subartic; frozen; arid; windy"
217:"Tesserara Echoian":8891:3,34:0,884:1,56:"swamp; plateau":"windy; arid; tropical; frozen"
218:"Tesserara Nereidos":8891:7,22:0,627:2,26:"grassland; city; sinkholes; lava river; vine":"rocky; humid; arid; artic; windy; subartic; hot"
219:"Vortexara Mu":2159:1,74:1,11:1,16:"canyons; volcano; jungle":"humid; frigid; superheated; tropical"
220:"Vortexara Delta":2159:1,19:0,811:1,14:"grassy hill; rocky island":"frozen; superheated; arid; temperate"
221:"Kagayaki Celestial Gamma":6938:5,69:0,602:2,11:"cityscape; ocean; urban; toxic cloudsea; volcano":"tropical; artic; superheated"
222:"Sylvari XIX":3906:0,9:1,549:0,83:"grassland; valley; rocky island; urban":"windy; hot; arid; temperate"
223:"Elgafar VIII":7699:1,35:0,653:1,27:"city; verdant":"humid; temperate; artic"
224:"Elgafar IV":7699:2,4:1,24:1,25:"sinkholes; valley; verdant":"hot; artificial temperate"
225:"Elgafar I":7699:missing:0,848:1,43:"island; river; cliff; fungus forest":"frigid; windy; frozen; hot"
226:"Mahasim Asclepian":3446:6,5:1,061:missing:"field; cityscape; urban":"artic; artificial temperate; frozen; humid; temperate; windy"
227:"Quantum Mirage XVI":8537:1,77:1,255:1,12:"mountain; rock arche":"frozen"
228:"Athebyne Si":8854:1,33:0,76:1,21:"jungle; cityscape":"superheated; frozen; artic"
